CompanyID,CompanyName,Industry,Region,Year,Revenue,ProfitMargin,MarketCap,GrowthRate,ESG_Overall,ESG_Environmental,ESG_Social,ESG_Governance,CarbonEmissions,WaterUsage,EnergyConsumption
1,Company_1,Retail,Latin America,2015,459.20,6.00,337.50,-3.50,57.00,60.70,33.50,76.80,35577.40,17788.70,71154.70
2,Company_2,Retail,Asia,2015,2934.80,-2.90,1803.10,-3.50,59.90,61.10,48.60,69.80,226554.20,113277.10,453108.30
3,Company_3,Transportation,Latin America,2015,259.70,5.90,140.20,-3.50,25.50,3.30,41.60,31.50,183314.50,30552.40,611048.20
4,Company_4,Technology,Africa,2015,5036.70,21.20,23192.40,-3.50,54.20,97.60,46.20,18.90,130146.60,78087.90,260293.20
5,Company_5,Finance,Middle East,2015,2720.90,16.10,3884.50,-3.50,43.50,71.90,19.10,39.40,37894.70,18947.30,94736.70
6,Company_6,Transportation,Oceania,2015,2339.10,0.80,256.70,-3.50,69.10,56.90,76.80,73.70,1125550.20,187591.70,3751834.00
7,Company_7,Healthcare,Oceania,2015,4664.10,6.20,4597.80,-3.50,53.00,74.60,37.10,47.50,316163.30,316163.30,632326.60
8,Company_8,Healthcare,Europe,2015,7090.70,10.60,14828.80,-3.50,74.40,69.40,87.80,66.10,506391.00,506391.00,1012782.00
9,Company_9,Technology,North America,2015,1490.20,11.90,4559.00,-3.50,59.80,37.80,77.70,63.70,69681.30,41808.80,139362.70
10,Company_10,Technology,Latin America,2015,48720.00,11.90,186028.60,-3.50,62.20,81.70,62.50,42.50,1530517.60,918310.60,3061035.30
11,Company_11,Energy,Europe,2015,1102.80,11.00,1367.90,-3.50,59.50,44.60,75.40,58.50,978737.80,293621.30,9787378.20
12,Company_12,Finance,Asia,2015,3081.40,9.40,2730.30,-3.50,52.80,90.40,43.20,24.70,34963.60,17481.80,87409.00
13,Company_13,Consumer Goods,Asia,2015,497.70,9.90,550.80,-3.50,44.60,80.20,23.00,30.70,63581.80,79477.30,317909.10
14,Company_14,Transportation,Middle East,2015,774.90,6.20,902.20,-3.50,38.50,20.80,60.00,34.80,490364.30,81727.40,1634547.60
15,Company_15,Healthcare,Oceania,2015,5737.20,23.70,15249.00,-3.50,51.00,75.80,50.40,26.70,384081.30,384081.30,768162.60
16,Company_16,Energy,Europe,2015,1160.60,16.30,1921.20,-3.50,47.20,46.80,38.70,56.10,1012659.60,303797.90,10126595.90
17,Company_17,Utilities,Oceania,2015,3577.10,12.70,3876.10,-3.50,62.90,55.90,87.30,45.40,2314884.00,1446802.50,23148840.20
18,Company_18,Energy,Europe,2015,7905.80,7.30,9920.40,-3.50,68.60,62.60,81.40,61.80,6022569.00,1806770.70,60225690.00
19,Company_19,Technology,Latin America,2015,69314.30,14.90,340068.50,-3.50,48.70,91.80,43.00,11.20,1931859.70,1159115.80,3863719.40
20,Company_20,Technology,North America,2015,4449.50,21.50,32323.90,-3.50,59.60,96.80,57.40,24.50,116153.90,69692.30,232307.80
21,Company_21,Energy,Asia,2015,2021.80,9.90,1956.40,-3.50,30.60,21.90,38.60,31.40,2116341.20,634902.30,21163411.50
22,Company_22,Manufacturing,Latin America,2015,518.60,7.90,723.00,-3.50,51.50,67.80,37.40,49.20,112808.10,150410.80,1880134.90
23,Company_23,Healthcare,Asia,2015,1042.00,11.90,1714.90,-3.50,50.70,50.80,42.10,59.20,88010.60,88010.60,176021.10
24,Company_24,Technology,Middle East,2015,11781.50,19.20,67237.90,-3.50,49.80,84.20,21.60,43.70,359647.00,215788.20,719294.10
25,Company_25,Utilities,Middle East,2015,698.20,10.10,991.20,-3.50,36.90,19.40,65.60,25.80,594511.50,371569.70,5945115.20
26,Company_26,Healthcare,Asia,2015,5781.80,15.30,10673.50,-3.50,53.30,87.70,42.50,29.60,338678.30,338678.30,677356.60
27,Company_27,Healthcare,Europe,2015,1376.00,14.20,2738.20,-3.50,59.20,91.00,47.70,39.00,77479.10,77479.10,154958.20
28,Company_28,Technology,Latin America,2015,2691.80,21.60,13341.00,-3.50,74.60,98.80,48.30,76.70,68384.60,41030.70,136769.20
29,Company_29,Transportation,Oceania,2015,1572.40,11.20,3444.60,-3.50,25.00,6.20,58.40,10.60,1091477.30,181912.90,3638257.70
30,Company_30,Transportation,Middle East,2015,705.50,4.50,536.80,-3.50,26.00,4.20,64.50,9.30,495563.50,82593.90,1651878.30
31,Company_31,Transportation,Middle East,2015,3478.70,3.80,1234.00,-3.50,23.90,28.30,10.60,32.80,2090644.70,348440.80,6968815.50
32,Company_32,Utilities,North America,2015,405.40,4.60,247.70,-3.50,52.10,8.70,70.30,77.20,369409.00,230880.60,3694090.10
33,Company_33,Finance,North America,2015,949.70,10.50,868.20,-3.50,61.20,73.90,53.30,56.40,12968.10,6484.00,32420.20
34,Company_34,Energy,Middle East,2015,7972.50,13.60,8847.60,-3.50,25.50,47.70,10.60,18.10,6906699.00,2072009.70,69066989.50
35,Company_35,Healthcare,Middle East,2015,652.20,15.10,2249.30,-3.50,66.50,65.40,83.10,51.10,48425.50,48425.50,96851.00
36,Company_36,Healthcare,Europe,2015,1387.20,19.20,6545.40,-3.50,71.70,29.70,97.60,87.80,137592.00,137592.00,275184.00
37,Company_37,Energy,Oceania,2015,8377.90,18.20,14923.90,-3.50,68.10,45.00,72.40,86.90,7412891.70,2223867.50,74128916.70
38,Company_38,Energy,Africa,2015,514.80,12.40,1244.30,-3.50,35.50,26.90,50.60,29.10,520757.60,156227.30,5207575.50
39,Company_39,Transportation,Latin America,2015,809.30,3.20,357.90,-3.50,41.60,21.20,57.90,45.60,510651.50,85108.60,1702171.80
40,Company_40,Transportation,Oceania,2015,2337.70,4.00,1791.90,-3.50,53.40,26.00,73.60,60.60,1427581.70,237930.30,4758605.60
41,Company_41,Energy,North America,2015,7409.30,5.80,5982.60,-3.50,52.70,30.70,44.20,83.20,7299469.80,2189840.90,72994697.70
42,Company_42,Energy,North America,2015,1946.20,2.40,654.50,-3.50,45.70,30.10,27.20,79.90,1925688.00,577706.40,19256880.20
